experiment	dataset	model	alpha	avg_acc	worst_acc	gap	rounds	seed	notes
E1_main	AG_News	TextCNN	0.1	86.6	54.5	32.2	50	42	FedAvg
E1_main	AG_News	DistilBERT+LoRA	0.1	80.8	30.7	50.1	50	42	FedAvg
E1_main	AG_News	TextCNN	0.5	95.6	91.9	3.7	50	42	FedAvg
E1_main	AG_News	DistilBERT+LoRA	0.5	93.6	92.3	1.3	20	42	FedAvg convergence verified
E1_main	AG_News	TextCNN	1	94.9	89.3	5.6	50	42	FedAvg
E1_main	AG_News	DistilBERT+LoRA	1	93.1	93.1	0	20	42	FedAvg convergence verified
E1_main	AG_News	TextCNN	5	97.8	94.7	3.1	50	42	FedAvg
E1_main	AG_News	DistilBERT+LoRA	5	91.3	91.3	0	20	42	FedAvg convergence verified
E2_fedavgw	AG_News	DistilBERT+LoRA	0.1	78.3	20.5	57.8	20	42	FedAvg baseline
E2_fedavgw	AG_News	DistilBERT+LoRA	0.1	78.1	19.6	58.5	20	42	FedAvgW beta=0.1
E2_fedavgw	AG_News	DistilBERT+LoRA	0.1	77.2	17.4	59.8	20	42	FedAvgW beta=0.5
E3_crossdataset	Sentiment140	TextCNN	0.1	63.2	0	63.2	20	42	FedAvg
E3_crossdataset	Sentiment140	DistilBERT+LoRA	0.1	61.7	18.6	43.1	20	42	FedAvg
E3_crossdataset	Sentiment140	TextCNN	1	89.6	76.4	13.2	20	42	FedAvg
E3_crossdataset	Sentiment140	DistilBERT+LoRA	1	81.1	81.1	0	20	42	FedAvg
